Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
20500,123504,73430,21472,32496,37523,18037,22936,32349690,60450,36145,9014,28350107,32454,29454998,14822,24649150,32236,52221199,9210,36589878,20625711
20750,113381,77873,22297,32552,39037,17180,25641,32915821,60504,38000,9252,28841410,34744,29782386,16088,24785739,31846,52078316,9831,37330947,20880386
21000,113251,75793,21889,33030,35539,16656,23815,33229455,657611,38339,9398,28838059,33712,30429111,13117,25042038,35453,55308736,9495,38024922,21233562
21250,110079,71918,21995,32217,37815,16557,25968,34215066,52827,34969,8719,29870563,32884,30790664,15459,26044944,34791,53932838,9500,38508598,21399652
21500,115115,91788,21841,32994,37056,16013,22389,34067651,53254,37585,8620,30174321,33080,31482230,14693,25633436,32501,54867446,9753,38924781,21647942
21750,114282,79385,21670,32003,38235,16496,27202,34729416,50582,38244,9027,30412375,31282,31703568,14998,25708582,31711,56272542,9498,39625545,21872745
22000,112908,81587,21621,32509,34250,17531,23869,34583116,54594,37163,8713,30109079,32102,31644567,14916,25981521,33830,55980493,9086,40375273,22254427
22250,109411,71588,22545,32907,36841,18106,21832,35119094,51007,36835,8799,30310120,33701,32367003,13557,26138070,34445,56938800,13626,41490014,22356772
22500,110429,76830,21739,34408,38041,16854,22414,35799377,52432,38419,9415,31216061,33031,32784263,14674,26449038,37298,57369311,9204,41655433,22658099
22750,113248,73294,22000,40635,42093,17984,23775,35834411,52792,36832,9035,31374985,33034,32678470,13952,26812381,32125,59068327,9624,42206235,22898436
23000,110828,72958,21759,43143,36133,17609,20806,40669489,60923,40747,9084,31367819,33427,32975814,14382,27193844,33573,59007661,9206,43239522,23147278
23250,112751,78213,21877,39328,38238,16004,26959,37637655,54333,38877,9500,32098840,32950,33347945,15742,27593582,31040,61499199,9253,44087285,23384662
